FID,Id,Status,PIN,X,Y,Area,Prev_Area,Pct_Change,Comment,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
12881,,Existing,095-10-09-12.42-800,384501.66,1486467.32,2083.4,0,0, ,198.342991458,2083.38543869,323.9375,78.2421549244535
12882,,Existing,095-10-09-12.42-1200,384685.35,1486372.76,2494.84,0,0, ,224.07021179,2494.82300297,387.91796875,88.3852228194181
12883,,Existing,095-10-09-12.42-1300,384684.19,1486464.78,2090.98,0,0, ,209.624858993,2091.00470186,325.12890625,82.6845931269194
12884,,Existing,095-10-09-12.42-102,384093.24,1486462.86,2990.34,0,0, ,245.521855508,2990.34527543,464.95703125,96.810628701245
12885,,Existing,095-10-09-12.42-103,384201.14,1486501.5,2826.17,0,0, ,253.431943067,2826.16016772,439.44140625,99.9161682215163
12886,,Existing,095-10-09-12.13-332,384395.58,1486565.5,2416.56,0,0, ,220.866330722,2416.54991904,375.75,87.0631928709373
12887,,Existing,095-10-09-12.13-333,384490.2,1486570.91,2910.54,0,0, ,251.650127127,2910.5275565,452.546875,99.1994070108733
12888,,Existing,095-10-09-12.13-600,384682.24,1486557.31,2725.74,0,0, ,241.283822486,2725.74561322,423.8203125,95.1913759003283
12889,,Existing,095-10-09-12.13-805,384677.93,1487020.78,2531.7,0,0, ,259.792552181,2531.70468811,393.67578125,102.381612930522
12890,,Existing,095-10-09-12.13-804,384574.51,1487021.12,2005.21,0,0, ,206.93045234,2005.20776705,311.79296875,81.583144041966
12891,,Existing,095-10-09-12.13-803,384483.55,1487017.98,2528,0,0, ,239.378959779,2527.98600301,393.0859375,94.3650413606564
12892,,Existing,095-10-09-12.13-301,384285,1487022.21,3149.27,0,0, ,263.04706995,3149.26019206,489.69140625,103.723194516543
12893,,Existing,095-10-09-12.13-302,384184.81,1487022.38,2889.28,0,0, ,225.857963484,2889.27734607,449.26953125,89.032183380008
12894,,Existing,095-10-09-12.13-317,384084.81,1486853.41,3129.78,0,0, ,262.109494021,3129.77037562,486.6640625,103.315860236204
12895,,Existing,095-10-09-12.43-3000,384769.25,1484374.16,173.81,0,0, ,54.9581899155,173.816981772,27.02734375,21.6718548065883
12896,,Existing,095-10-09-12.43-2200,384872.91,1484066.35,3073.63,0,0, ,260.759305183,3073.63125945,477.8125,102.816148360983
12897,,Existing,095-10-09-12.43-2200,384995.92,1484047.4,156.87,0,0, ,50.1007884336,156.862290571,24.3828125,19.7540382674524
12898,,Existing,095-10-09-12.43-3200,384843.86,1484542.05,2726.53,0,0, ,244.964886328,2726.53072701,423.8828125,96.5928716583412
12899,,Existing,095-10-09-12.43-3100,384774.87,1484462.32,2772.33,0,0, ,240.171529841,2772.33044428,431,94.6992913174196
12900,,Existing,095-10-09-12.43-2400,384797.5,1484234.72,2448.18,0,0, ,224.637648383,2448.18090681,380.6015625,88.5808890515245
