,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
6919,1403.0,1464.5,1514.5,1599.5,1864.5,2318.5,2582.0,2489.0,2747.5,2422.0,2027.0
6920,1645.5,2235.0,2253.0,2407.0,2345.0,2462.0,2546.0,2636.0,2643.5,2843.5,2537.0
6921,1645.5,1886.0,2035.0,2227.0,2171.0,2508.0,2608.5,3179.0,2805.0,2758.5,2298.5
6922,1793.5,1744.5,1936.5,2113.5,2200.0,2363.5,2482.0,2308.0,2623.5,2598.0,2346.5
6923,1657.0,2515.0,2668.0,2812.0,2529.5,2662.0,2594.0,3141.5,2640.5,2623.5,2447.0
6924,1657.0,2246.0,2380.0,2442.0,2601.0,2824.0,2953.5,3471.0,3045.0,2918.0,2705.5
6925,1657.0,1670.0,1819.5,1947.5,2465.0,2771.5,2876.5,3185.0,3102.0,2944.5,2503.0
6926,1471.5,1814.0,1929.5,2064.0,2136.5,2320.0,2420.0,2853.0,2616.5,2718.5,2292.0
6927,1471.5,1475.0,1627.5,1729.0,2067.5,2455.0,2642.5,3113.0,2957.5,2842.5,2290.5
6928,1435.5,1843.5,2041.0,2013.0,2157.0,3004.0,3393.5,3595.0,3604.5,2839.0,2184.5
6929,1435.5,1446.0,1722.5,1673.0,2325.0,3695.0,4106.0,4441.5,4445.0,3105.0,2319.0
6930,1415.5,1513.0,1757.5,1867.0,2615.5,3617.5,4017.0,4243.0,4338.5,3423.0,2471.5
6931,1415.5,1627.0,1922.0,1986.0,2740.0,3736.5,4039.5,4169.5,4373.5,3528.0,2551.5
6932,1360.0,1554.5,1880.5,1848.5,2341.5,3188.5,3424.0,4006.5,3852.5,3129.0,2260.0
6933,1360.0,1590.0,1926.0,1871.5,2516.0,3507.5,3856.0,4287.5,4194.0,3169.5,2344.5
6934,1380.0,1541.5,1708.5,1810.0,2134.5,2739.0,2977.0,3290.0,3262.0,3246.0,2435.5
6935,1380.0,1562.5,1785.5,1856.5,2360.0,2935.5,3196.5,3737.5,3429.0,3295.5,2571.5
6936,1517.0,1541.5,1781.0,1797.5,2250.0,3048.0,3174.0,3946.5,3532.0,3236.0,2673.0
6937,1586.0,1537.5,1843.5,1721.5,2392.0,3632.5,4065.0,4950.5,4283.0,3189.0,2508.5
6938,1586.0,2058.0,2205.0,2236.0,2445.5,3002.0,3293.5,3763.5,3358.0,2912.0,2555.5
