,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
19533,1666.0,2115.0,2349.0,2383.0,2507.0,3343.0,3621.0,3551.0,3804.0,3336.5,2711.5
19534,1666.0,2377.0,2594.0,2652.0,2488.5,3320.0,3592.0,3562.5,3802.0,3245.5,2681.5
19535,1611.5,2161.0,2341.0,2310.0,2298.5,3078.5,3447.0,3565.0,3573.5,2875.0,2375.5
19536,1611.5,2032.0,2193.0,2041.0,2253.5,3064.0,3493.5,3697.0,3558.0,2856.0,2328.5
19537,1699.5,1539.0,1752.0,1672.0,2323.0,3289.5,3639.0,3892.0,3821.0,3051.0,2444.0
19538,1699.5,1382.0,1584.5,1395.0,2246.0,3428.0,3882.0,4048.0,4058.5,3058.5,2415.0
19539,1547.5,1635.0,1856.5,1862.5,2481.0,3476.5,3864.5,4009.5,4168.5,3864.5,3061.0
19540,1547.5,1909.0,2137.0,2249.0,2619.0,3304.5,3645.0,3841.5,3962.5,4101.0,3298.5
19541,1381.5,1369.0,1591.5,1333.0,1915.0,3779.5,4417.0,4598.0,4659.5,3006.0,1998.5
19542,1381.5,1338.0,1543.0,1271.5,1831.0,3635.0,4270.0,4339.5,4571.0,2791.5,1846.0
19543,1345.5,1285.5,1485.0,1233.0,1800.0,3513.0,4260.0,4313.5,4477.5,2672.0,1791.0
19544,1345.5,1327.0,1525.0,1277.5,1836.0,3506.5,4101.5,4122.0,4380.5,2776.5,1882.0
19545,1413.0,1313.5,1534.5,1275.5,1858.5,3409.5,3947.5,4400.0,4165.0,2635.0,1845.5
19546,1413.0,1383.0,1530.0,1433.5,1914.5,3178.5,3788.5,3656.0,4017.5,2894.5,2040.5
19547,1387.5,1541.0,1866.5,1758.5,2408.5,3958.5,4546.5,4666.0,4858.5,3900.0,2624.0
19548,1387.5,1469.5,1827.0,1495.5,2283.5,3954.0,4500.5,4733.5,4836.0,3554.0,2394.0
19549,1272.5,1317.0,1527.5,1264.5,1837.0,3714.0,4413.0,4503.5,4666.5,2808.5,1819.0
19550,1272.5,1310.5,1542.5,1266.0,1865.0,3804.0,4547.0,4687.5,4799.0,2828.0,1826.0
19551,1272.5,1281.5,1508.0,1234.0,1809.5,3648.0,4287.5,4281.5,4528.5,2717.5,1791.0
19552,1260.0,1283.5,1515.5,1212.5,1748.0,3435.0,4106.0,4497.5,4269.0,2654.5,1729.0
19553,1267.0,1295.0,1519.0,1242.0,1757.5,3379.5,4056.0,4355.5,4223.5,2723.0,1816.0
19554,1267.0,1288.5,1495.5,1228.5,1759.5,3325.0,3920.0,4074.5,4185.5,2681.0,1773.5
19555,1294.0,1276.5,1471.5,1220.5,1773.0,3327.0,3901.0,4068.0,4104.5,2599.5,1716.5
19556,1294.0,1270.0,1451.5,1232.5,1763.0,3323.5,3947.0,4082.5,4132.0,2553.0,1709.0
19557,1331.0,1299.0,1453.0,1262.0,1909.0,3593.0,4261.0,3779.5,4530.0,2945.5,1950.5
19558,1331.0,1527.5,1816.5,1542.0,2200.0,4124.5,4715.5,4687.0,5050.0,3296.5,2228.5
19559,1364.5,1375.5,1843.0,1341.5,2368.0,4558.5,5124.5,5198.0,5409.5,3211.0,2059.5
19560,1364.5,1547.0,1854.0,1688.0,2441.5,4091.0,4601.5,4613.5,4900.5,3505.0,2276.0
19561,1446.0,1668.5,1947.0,1935.0,2565.5,3539.0,3915.0,4242.0,4316.5,3805.0,2710.5
19562,1446.0,1637.0,1888.5,1672.0,2500.5,3715.0,4151.0,4360.0,4465.5,3453.5,2323.0
19563,1446.0,1627.5,1905.0,1645.0,2528.5,3847.0,4322.0,4620.5,4671.5,3393.0,2184.0
19564,1349.0,1286.0,1542.0,1411.0,1905.0,3377.0,4086.0,3689.0,4390.5,2861.5,1844.5
19565,1349.0,1285.5,1504.0,1236.0,1793.0,3796.0,4742.0,4916.0,5072.0,2793.0,1780.0
19566,1295.0,1323.5,1641.0,1291.5,1960.0,4091.0,4819.5,4966.0,5178.0,3154.5,2010.0
19567,1346.0,1358.0,1657.0,1407.5,2240.0,3917.0,4575.5,4788.0,4897.0,3326.5,2098.0
19568,1346.0,1293.0,1525.0,1271.5,2085.0,3842.0,4537.0,4768.0,4865.0,3278.5,2053.5
19569,1363.5,1325.5,1599.5,1276.5,2051.0,4187.0,4952.5,5222.5,5336.0,3302.0,2032.0
19570,1363.5,1333.0,1482.5,1276.5,1978.5,4146.5,4966.0,5140.0,5320.5,3216.0,1984.5
19571,1518.5,1405.5,1609.0,1429.0,2023.0,3337.0,3905.5,4622.0,4194.5,2933.0,2037.5
19572,1518.5,1386.0,1540.5,1398.5,1954.5,3278.5,3748.5,3674.5,3991.5,2962.0,2122.5
19573,1587.5,1679.0,1803.0,1957.5,2324.5,3598.5,4090.5,3347.0,4283.0,3482.0,2467.0
19574,1587.5,1590.5,1845.0,1666.5,2281.5,3934.0,4418.0,4702.0,4749.0,3798.5,2567.5
19575,1587.5,1488.5,1769.0,1550.0,2228.5,3962.5,4687.5,4930.0,5053.5,3766.5,2500.5
19576,1548.5,1763.0,1931.5,1866.5,2195.5,3447.0,3872.5,4052.0,4108.5,3369.5,2485.5
19577,1548.5,1591.0,1759.0,1724.5,2244.5,3296.5,3726.0,4210.0,3979.5,3405.5,2585.0
19578,1672.0,1767.0,2012.0,2047.0,2569.5,3414.5,3887.0,3893.0,4130.0,3920.5,2993.0
19579,1672.0,2380.0,2746.0,2748.0,2907.0,3669.0,4114.5,4441.0,4221.5,3822.0,3009.0
19580,1588.5,1589.0,1859.0,1747.5,2127.0,3571.5,4136.0,4504.0,4391.5,3185.0,2260.0
19581,1609.5,1491.5,1724.5,1484.0,1983.5,3440.0,3962.5,4398.0,4226.5,2870.5,2039.5
19582,1609.5,2334.0,2481.0,2573.0,2446.5,3217.0,3548.5,3368.5,3676.0,3289.0,2708.5
19583,1515.0,1708.0,1873.0,1783.0,2176.0,3416.5,3987.5,4075.5,4164.5,3144.0,2342.0
19584,1515.0,1703.5,1933.0,1704.0,2180.5,3552.0,4214.0,4313.0,4179.5,3152.5,2185.5
19585,1442.0,1617.0,1795.0,1617.5,2075.5,3376.5,3706.5,4046.5,4158.0,2925.0,2110.0
19586,1442.0,1579.5,1808.0,1604.5,1999.0,3224.0,3665.5,3768.5,3874.5,2838.5,2031.5
19587,1442.0,1640.0,1819.5,1649.0,2006.0,3372.0,3894.0,3842.5,3990.5,2948.0,2078.0
19588,1605.0,1963.0,2185.0,2003.0,2295.5,3603.0,4106.0,4390.5,4386.5,3371.5,2485.5
19589,1605.0,1738.0,1924.5,1852.0,2268.0,3588.5,4171.0,4589.0,4331.5,3468.5,2506.5
19590,1795.0,2095.0,2291.0,2219.0,2457.0,3698.5,4127.5,4140.0,4386.5,3513.0,2848.5
19591,1795.0,2182.0,2331.0,2395.0,2621.0,3482.0,3747.0,3673.0,3965.5,3681.0,3179.5
19592,1647.0,1733.0,1982.5,1954.0,2379.5,3681.0,4196.0,4354.0,4453.5,3614.5,2691.0
19593,1647.0,1738.0,1909.0,1927.5,2351.5,3320.0,3697.0,3646.0,3890.0,3377.0,2619.5
19594,1562.5,1767.0,2062.0,2011.0,2423.5,3288.5,3621.5,3669.5,3829.5,3457.5,2786.5
19595,1640.5,1854.5,2043.0,2159.0,2535.5,3220.5,3527.0,3719.0,3789.0,3681.0,2960.5
19596,1640.5,1536.0,1741.0,1683.0,2407.5,3116.0,3508.0,3580.5,3695.0,3404.5,2765.0
19597,1681.5,2053.0,2246.0,2281.0,2588.5,3170.0,3414.5,3418.0,3662.5,3657.0,3070.0
19598,1681.5,1738.0,1886.0,1965.0,2529.0,3250.5,3580.0,3696.5,3799.0,3598.5,2934.0
19599,1716.5,1853.5,2044.5,2093.0,2509.0,3301.0,3647.5,3717.0,3794.5,3673.0,3002.5
19600,1716.5,2240.0,2359.0,2409.0,2673.0,3317.0,3549.0,3736.0,3754.0,3771.0,3180.5
19601,1716.5,2032.0,2255.0,2319.0,2575.5,3099.5,3437.5,3685.0,3575.0,3712.5,3104.0
19602,1633.5,1865.0,2075.0,2098.0,2495.5,3333.5,3657.0,3776.0,3899.5,3705.5,2957.0
19603,1633.5,1426.0,1555.0,1451.0,2249.0,3163.0,3658.0,3429.5,3820.5,3254.0,2575.5
19604,1462.0,1904.0,1941.0,1921.0,2113.0,2983.5,3362.5,2808.0,3613.0,3027.0,2298.0
19605,1462.0,1304.5,1493.0,1269.0,1954.5,3494.5,4145.5,4390.0,4475.0,3157.5,2145.5
19606,1380.0,1297.0,1508.0,1265.0,1850.5,3673.5,4349.0,4350.0,4641.5,2889.5,1965.0
19607,1380.0,1349.5,1575.0,1360.0,1848.5,3457.0,4095.0,4055.5,4289.0,2842.5,1965.5
19608,1463.5,1510.5,1790.0,1611.0,2170.0,3516.5,3922.0,4397.5,4292.0,3484.5,2449.0
19609,1463.5,1937.0,2145.0,2099.0,2287.5,3358.5,3918.0,3892.5,4064.5,3289.0,2442.0
19610,1468.0,1830.5,2019.5,1920.5,2287.5,3462.5,3963.0,3564.5,4060.5,3089.0,2355.5
19611,1317.0,1286.5,1586.0,1298.0,1942.5,3859.5,4437.5,4306.0,4822.0,3027.0,1971.5
19612,1317.0,1304.5,1527.0,1292.5,1877.0,3752.0,4350.0,4195.0,4658.5,2913.5,1911.0
19613,1317.0,1229.0,1483.0,1206.5,1813.5,3774.0,4332.0,4444.0,4669.0,2737.0,1764.0
19614,1303.5,1351.0,1656.5,1293.5,1957.0,3853.0,4511.5,4696.0,4807.5,2964.0,1908.5
19615,1303.5,1303.5,1528.0,1284.5,1857.5,3674.5,4203.0,4056.5,4534.0,2902.0,1886.0
19616,1339.0,1299.5,1616.0,1277.5,1922.0,3612.0,4174.5,4284.0,4432.5,2844.0,1881.5
19617,1339.0,1293.5,1530.0,1238.5,1888.0,3380.0,3919.5,3746.0,4139.0,2699.5,1864.0
19618,1508.5,1659.0,1838.0,1687.5,2157.5,3273.5,3628.5,4348.5,3933.0,3173.5,2339.5
19619,1508.5,1720.0,1957.0,1815.5,2236.5,3155.5,3474.5,3866.0,3688.0,3257.5,2564.5
19620,1555.5,1590.0,1743.5,1712.5,2215.0,3060.0,3301.5,3574.5,3668.0,3371.5,2579.5
19621,1555.5,1389.5,1587.0,1446.5,2089.5,3219.0,3761.0,3717.0,3960.0,3338.0,2425.5
19622,1513.5,1733.0,1914.0,2022.5,2380.0,3062.0,3328.5,3169.5,3610.5,3376.0,2663.5
19623,1513.5,1656.5,1977.0,1931.0,2469.0,3272.0,3762.0,4117.5,3786.5,3373.0,2672.0
19624,1501.0,1308.5,1501.0,1263.0,1761.5,3426.0,4045.0,4240.0,4234.5,2677.5,1828.5
19625,1501.0,1377.5,1559.0,1343.5,1823.5,3523.5,4103.0,4109.5,4234.0,2799.5,1900.5
19626,1555.0,2099.0,2255.0,2255.0,2433.5,3026.0,3281.0,3684.0,3415.0,3147.0,2747.5
19627,1555.0,1504.5,1587.0,1540.0,2048.5,2653.0,3050.5,2957.0,3082.5,2761.0,2275.0
19628,1501.5,1556.0,1758.0,1622.5,2072.5,3461.5,3924.5,4588.5,4094.5,2978.0,2182.5
19629,1501.5,1456.5,1637.0,1451.5,1997.0,3067.5,3497.0,3899.5,3651.5,2757.0,2100.5
19630,1441.0,1339.0,1595.5,1308.5,1968.5,3656.0,4255.5,4214.5,4428.0,3065.0,2105.0
19631,1441.0,1612.0,1860.0,1862.0,2378.5,3664.0,4226.0,4047.5,4517.0,3713.0,2629.0
19632,1483.0,1648.0,1845.0,1877.0,2326.0,3421.0,3862.5,4068.0,4167.5,4058.5,2843.0
