,Longitude,Latitude,Natural Elevation
332,-74.238,40.541,25.982
333,-74.237,40.5,6.192500000000001
334,-74.237,40.501,7.506
335,-74.237,40.502,15.751999999999999
336,-74.237,40.503,14.635000000000002
337,-74.237,40.504,26.313
338,-74.237,40.505,33.351
339,-74.237,40.506,37.444
340,-74.237,40.507,41.5925
341,-74.237,40.508,46.518
342,-74.237,40.509,51.947
343,-74.237,40.51,53.819
344,-74.237,40.511,54.903
345,-74.237,40.512,54.603
346,-74.237,40.513,53.049499999999995
347,-74.237,40.514,46.495999999999995
348,-74.237,40.515,45.026
349,-74.237,40.516,42.144000000000005
350,-74.237,40.517,38.670500000000004
351,-74.237,40.521,7.721
352,-74.237,40.522,21.2685
353,-74.237,40.525,35.473
354,-74.237,40.527,0.0
355,-74.237,40.528,60.349
356,-74.237,40.529,63.771
357,-74.237,40.531,0.0
358,-74.237,40.533,0.0
359,-74.237,40.534,37.039
360,-74.237,40.535,40.672
361,-74.237,40.536,67.042
362,-74.237,40.537,75.473
363,-74.237,40.538,85.90950000000001
364,-74.237,40.539,35.258
365,-74.237,40.54,57.04
366,-74.236,40.503,14.188
367,-74.236,40.505,29.746
368,-74.236,40.506,30.1
369,-74.236,40.507,36.174
370,-74.236,40.508,41.684
371,-74.236,40.509,47.6545
372,-74.236,40.51,51.2145
373,-74.236,40.511,53.513999999999996
374,-74.236,40.512,51.2065
375,-74.236,40.513,42.268
376,-74.236,40.514,42.553
377,-74.236,40.515,42.286
378,-74.236,40.516,39.442
379,-74.236,40.517,0.0
380,-74.236,40.52,8.299
381,-74.236,40.521,13.312000000000001
382,-74.236,40.522,17.872500000000002
383,-74.236,40.525,21.764
384,-74.236,40.526,41.662
385,-74.236,40.527,0.0
386,-74.236,40.528,58.915
387,-74.236,40.529,68.57400000000001
388,-74.236,40.533,47.4795
389,-74.236,40.534,47.2235
390,-74.236,40.535,42.4075
391,-74.236,40.536,54.983
392,-74.236,40.537,86.955
393,-74.236,40.538,100.084
394,-74.236,40.539,67.799
395,-74.236,40.54,0.0
396,-74.235,40.501,12.122
397,-74.235,40.502,14.335
398,-74.235,40.503,15.197
399,-74.235,40.506,30.085500000000003
400,-74.235,40.507,37.377
401,-74.235,40.508,42.0285
402,-74.235,40.509,46.396
403,-74.235,40.51,51.022000000000006
404,-74.235,40.511,48.993
405,-74.235,40.512,47.1185
406,-74.235,40.513,42.218
407,-74.235,40.514,40.191
408,-74.235,40.515,38.016
409,-74.235,40.516,39.27
410,-74.235,40.517,21.889499999999998
411,-74.235,40.518,18.5355
412,-74.235,40.521,13.8375
413,-74.235,40.522,17.83
414,-74.235,40.523,25.312
415,-74.235,40.525,44.838
